year,state,state_po,D_name,R_name,T_name,party_win,D_votes,R_votes,T_votes,overall_winner,overall_runner_up,winner_state,electoral_votes,winner_votes,loser_votes,votes_to_flip,total_electoral_votes,electoral_votes_to_win,D_electoral,R_electoral,T_electoral,totalvotes,votes_to_win
1904,MAINE,ME,Alton B. Parker,Theodore Roosevelt,,R,27642,65432,0,R,D,True,6,65432,27642,18896,476,239,133,343,0,93074,
1904,MARYLAND,MD,Alton B. Parker,Theodore Roosevelt,,R,109446,109497,0,R,D,True,8,109497,109446,26,476,239,133,343,0,218943,
1904,MASSACHUSETTS,MA,Alton B. Parker,Theodore Roosevelt,,R,165746,257822,0,R,D,True,16,257822,165746,46039,476,239,133,343,0,423568,
1904,MICHIGAN,MI,Alton B. Parker,Theodore Roosevelt,,R,135392,364957,0,R,D,True,14,364957,135392,114783,476,239,133,343,0,500349,
1904,MINNESOTA,MN,Alton B. Parker,Theodore Roosevelt,,R,55187,216651,0,R,D,True,11,216651,55187,80733,476,239,133,343,0,271838,
1904,MISSISSIPPI,MS,Alton B. Parker,Theodore Roosevelt,,D,53480,3280,0,R,D,False,10,53480,53480,1,476,239,133,343,0,56760,
1904,MISSOURI,MO,Alton B. Parker,Theodore Roosevelt,,R,296312,321449,0,R,D,True,18,321449,296312,12569,476,239,133,343,0,617761,
1904,MONTANA,MT,Alton B. Parker,Theodore Roosevelt,,R,21773,34932,5676,R,D,True,3,34932,21773,6580,476,239,133,343,0,62381,
1904,NEBRASKA,NE,Alton B. Parker,Theodore Roosevelt,,R,52921,138558,20518,R,D,True,8,138558,52921,42819,476,239,133,343,0,211997,
1904,NEVADA,NV,Alton B. Parker,Theodore Roosevelt,,R,3982,6864,925,R,D,True,3,6864,3982,1442,476,239,133,343,0,11771,
1904,NEW HAMPSHIRE,NH,Alton B. Parker,Theodore Roosevelt,,R,34074,54163,0,R,D,True,4,54163,34074,10045,476,239,133,343,0,88237,
1904,NEW JERSEY,NJ,Alton B. Parker,Theodore Roosevelt,,R,164566,245164,0,R,D,True,12,245164,164566,40300,476,239,133,343,0,409730,
1904,NEW YORK,NY,Alton B. Parker,Theodore Roosevelt,,R,683981,859533,0,R,D,True,39,859533,683981,87777,476,239,133,343,0,1543514,
1904,NORTH CAROLINA,NC,Alton B. Parker,Theodore Roosevelt,,D,124091,82442,0,R,D,False,12,124091,124091,1,476,239,133,343,0,206533,
1904,NORTH DAKOTA,ND,Alton B. Parker,Theodore Roosevelt,,R,14273,52595,0,R,D,True,4,52595,14273,19162,476,239,133,343,0,66868,
1904,OHIO,OH,Alton B. Parker,Theodore Roosevelt,,R,344674,600095,0,R,D,True,23,600095,344674,127711,476,239,133,343,0,944769,
1904,OREGON,OR,Alton B. Parker,Theodore Roosevelt,,R,17521,60455,7619,R,D,True,4,60455,17521,21468,476,239,133,343,0,85595,
1904,PENNSYLVANIA,PA,Alton B. Parker,Theodore Roosevelt,,R,337998,840949,0,R,D,True,34,840949,337998,251476,476,239,133,343,0,1178947,
1904,RHODE ISLAND,RI,Alton B. Parker,Theodore Roosevelt,,R,24839,41605,0,R,D,True,4,41605,24839,8384,476,239,133,343,0,66444,
1904,SOUTH CAROLINA,SC,Alton B. Parker,Theodore Roosevelt,,D,52563,2554,0,R,D,False,9,52563,52563,1,476,239,133,343,0,55117,
1904,SOUTH DAKOTA,SD,Alton B. Parker,Theodore Roosevelt,,R,21969,72083,0,R,D,True,4,72083,21969,25058,476,239,133,343,0,94052,
1904,TENNESSEE,TN,Alton B. Parker,Theodore Roosevelt,,D,131653,105363,0,R,D,False,12,131653,131653,1,476,239,133,343,0,237016,
1904,TEXAS,TX,Alton B. Parker,Theodore Roosevelt,,D,167200,51242,0,R,D,False,18,167200,167200,1,476,239,133,343,0,218442,
1904,UTAH,UT,Alton B. Parker,Theodore Roosevelt,,R,33413,62452,5767,R,D,True,3,62452,33413,14520,476,239,133,343,0,101632,
1904,VERMONT,VT,Alton B. Parker,Theodore Roosevelt,,R,9777,40459,0,R,D,True,4,40459,9777,15342,476,239,133,343,0,50236,
1904,VIRGINIA,VA,Alton B. Parker,Theodore Roosevelt,,D,80649,48180,0,R,D,False,12,80649,80649,1,476,239,133,343,0,128829,
1904,WASHINGTON,WA,Alton B. Parker,Theodore Roosevelt,,R,28098,101540,10023,R,D,True,5,101540,28098,36722,476,239,133,343,0,139661,
1904,WEST VIRGINIA,WV,Alton B. Parker,Theodore Roosevelt,,R,100855,132620,0,R,D,True,7,132620,100855,15883,476,239,133,343,0,233475,
1904,WISCONSIN,WI,Alton B. Parker,Theodore Roosevelt,,R,124107,280164,28220,R,D,True,13,280164,124107,78029,476,239,133,343,0,432491,
1904,WYOMING,WY,Alton Parker,Theodore Roosevelt,,R,8930,20846,0,R,D,True,3,20846,8930,5959,476,239,133,343,0,29776,
1908,ALABAMA,AL,William Jennings Bryan,William Howard Taft,,D,74374,25372,0,R,D,False,11,74374,74374,1,483,242,156,327,0,99746,
1908,ARKANSAS,AR,William Jennings Bryan,William Howard Taft,,D,87015,56624,0,R,D,False,9,87015,87015,1,483,242,156,327,0,143639,
1908,CALIFORNIA,CA,William Jennings Bryan,William Howard Taft,,R,127492,214398,28659,R,D,True,10,214398,127492,43454,483,242,156,327,0,370549,
1908,COLORADO,CO,William Jennings Bryan,William Howard Taft,,D,126644,123693,0,R,D,False,5,126644,126644,1,483,242,156,327,0,250337,
1908,CONNECTICUT,CT,William Jennings Bryan,William Howard Taft,,R,68255,112915,0,R,D,True,7,112915,68255,22331,483,242,156,327,0,181170,
1908,DELAWARE,DE,William Jennings Bryan,William Howard Taft,,R,22055,25014,0,R,D,True,3,25014,22055,1480,483,242,156,327,0,47069,
1908,FLORIDA,FL,William Jennings Bryan,William Howard Taft,,D,31104,10654,3747,R,D,False,5,31104,31104,1,483,242,156,327,0,45505,
1908,GEORGIA,GA,William Jennings Bryan,William Howard Taft,,D,72350,41355,16687,R,D,False,13,72350,72350,1,483,242,156,327,0,130392,
1908,IDAHO,ID,William Jennings Bryan,William Howard Taft,,R,36162,52621,6400,R,D,True,3,52621,36162,8230,483,242,156,327,0,95183,
1908,ILLINOIS,IL,William Jennings Bryan,William Howard Taft,,R,450810,629932,0,R,D,True,27,629932,450810,89562,483,242,156,327,0,1080742,
1908,INDIANA,IN,William Jennings Bryan,William Howard Taft,,R,338262,348993,0,R,D,True,15,348993,338262,5366,483,242,156,327,0,687255,
1908,IOWA,IA,William Jennings Bryan,William Howard Taft,,R,200771,275209,0,R,D,True,13,275209,200771,37220,483,242,156,327,0,475980,
1908,KANSAS,KS,William Jennings Bryan,William Howard Taft,,R,161209,197216,0,R,D,True,10,197216,161209,18004,483,242,156,327,0,358425,
1908,KENTUCKY,KY,William Jennings Bryan,William Howard Taft,,D,244092,235711,0,R,D,False,13,244092,244092,1,483,242,156,327,0,479803,
1908,LOUISIANA,LA,William Jennings Bryan,William Howard Taft,,D,63568,8958,0,R,D,False,9,63568,63568,1,483,242,156,327,0,72526,
1908,MAINE,ME,William Jennings Bryan,William Howard Taft,,R,35403,66987,0,R,D,True,6,66987,35403,15793,483,242,156,327,0,102390,
1908,MARYLAND,MD,William Jennings Bryan,William Howard Taft,,R,115908,116513,0,R,D,True,8,116513,115908,303,483,242,156,327,0,232421,
1908,MASSACHUSETTS,MA,William Jennings Bryan,William Howard Taft,,R,155543,265966,0,R,D,True,16,265966,155543,55212,483,242,156,327,0,421509,
1908,MICHIGAN,MI,William Jennings Bryan,William Howard Taft,,R,175771,335580,0,R,D,True,14,335580,175771,79905,483,242,156,327,0,511351,
1908,MINNESOTA,MN,William Jennings Bryan,William Howard Taft,,R,109401,195843,0,R,D,True,11,195843,109401,43222,483,242,156,327,0,305244,
1908,MISSISSIPPI,MS,William Jennings Bryan,William Howard Taft,,D,60287,4363,0,R,D,False,10,60287,60287,1,483,242,156,327,0,64650,
1908,MISSOURI,MO,William Jennings Bryan,William Howard Taft,,R,346574,347203,0,R,D,True,18,347203,346574,315,483,242,156,327,0,693777,
1908,MONTANA,MT,William Jennings Bryan,William Howard Taft,,R,29326,32333,5855,R,D,True,3,32333,29326,1504,483,242,156,327,0,67514,
1908,NEBRASKA,NE,William Jennings Bryan,William Howard Taft,,D,131099,126997,0,R,D,False,8,131099,131099,1,483,242,156,327,0,258096,
1908,NEVADA,NV,William Jennings Bryan,William Howard Taft,,D,11212,10775,2103,R,D,False,3,11212,11212,1,483,242,156,327,0,24090,
1908,NEW HAMPSHIRE,NH,William Jennings Bryan,William Howard Taft,,R,33655,53149,0,R,D,True,4,53149,33655,9748,483,242,156,327,0,86804,
1908,NEW JERSEY,NJ,William Jennings Bryan,William Howard Taft,,R,182522,265298,0,R,D,True,12,265298,182522,41389,483,242,156,327,0,447820,
1908,NEW YORK,NY,William Jennings Bryan,William Howard Taft,,R,667468,870070,0,R,D,True,39,870070,667468,101302,483,242,156,327,0,1537538,
1908,NORTH CAROLINA,NC,William Jennings Bryan,William Howard Taft,,D,136928,114887,0,R,D,False,12,136928,136928,1,483,242,156,327,0,251815,
1908,NORTH DAKOTA,ND,William Jennings Bryan,William Howard Taft,,R,32885,57680,0,R,D,True,4,57680,32885,12398,483,242,156,327,0,90565,
1908,OHIO,OH,William Jennings Bryan,William Howard Taft,,R,502721,572312,0,R,D,True,23,572312,502721,34796,483,242,156,327,0,1075033,
1908,OKLAHOMA,OK,William Jennings Bryan,William Howard Taft,,D,122363,110474,21755,R,D,False,7,122363,122363,1,483,242,156,327,0,254592,
1908,OREGON,OR,William Jennings Bryan,William Howard Taft,,R,38049,62530,7339,R,D,True,4,62530,38049,12241,483,242,156,327,0,107918,
1908,PENNSYLVANIA,PA,William Jennings Bryan,William Howard Taft,,R,448782,745779,0,R,D,True,34,745779,448782,148499,483,242,156,327,0,1194561,
1908,RHODE ISLAND,RI,William Jennings Bryan,William Howard Taft,,R,24706,43942,0,R,D,True,4,43942,24706,9619,483,242,156,327,0,68648,
1908,SOUTH CAROLINA,SC,William Jennings Bryan,William Howard Taft,,D,62288,3945,0,R,D,False,9,62288,62288,1,483,242,156,327,0,66233,
1908,SOUTH DAKOTA,SD,William Jennings Bryan,William Howard Taft,,R,40266,67536,0,R,D,True,4,67536,40266,13636,483,242,156,327,0,107802,
1908,TENNESSEE,TN,William Jennings Bryan,William Howard Taft,,D,135608,117977,0,R,D,False,12,135608,135608,1,483,242,156,327,0,253585,
1908,TEXAS,TX,William Jennings Bryan,William Howard Taft,,D,217302,65666,0,R,D,False,18,217302,217302,1,483,242,156,327,0,282968,
1908,UTAH,UT,William Jennings Bryan,William Howard Taft,,R,42637,61165,0,R,D,True,3,61165,42637,9265,483,242,156,327,0,103802,
1908,VERMONT,VT,William Jennings Bryan,William Howard Taft,,R,11496,39552,0,R,D,True,4,39552,11496,14029,483,242,156,327,0,51048,
1908,VIRGINIA,VA,William Jennings Bryan,William Howard Taft,,D,82946,52572,0,R,D,False,12,82946,82946,1,483,242,156,327,0,135518,
1908,WASHINGTON,WA,William Jennings Bryan,William Howard Taft,,R,58691,106062,14177,R,D,True,5,106062,58691,23686,483,242,156,327,0,178930,
1908,WEST VIRGINIA,WV,William Jennings Bryan,William Howard Taft,,R,111418,137869,0,R,D,True,7,137869,111418,13226,483,242,156,327,0,249287,
1908,WISCONSIN,WI,William Jennings Bryan,William Howard Taft,,R,166632,247747,28170,R,D,True,13,247747,166632,40558,483,242,156,327,0,442549,
1908,WYOMING,WY,William Jennings Bryan,William Howard Taft,,R,14918,20846,0,R,D,True,3,20846,14918,2965,483,242,156,327,0,35764,
1912,ALABAMA,AL,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,82438,9717,22680,D,T,True,12,82438,22680,29880,531,266,433,8,90,114835,
1912,ARIZONA,AZ,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,10324,3021,6949,D,T,True,3,10324,6949,1688,531,266,433,8,90,20294,
1912,ARKANSAS,AR,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,68814,25585,21644,D,T,True,9,68814,21644,23586,531,266,433,8,90,116043,
1912,CALIFORNIA,CA,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,T,283436,0,283610,D,T,False,13,283610,283610,1,531,266,433,8,90,567046,
1912,COLORADO,CO,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,114232,54956,72306,D,T,True,6,114232,72306,20964,531,266,433,8,90,241494,
1912,CONNECTICUT,CT,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,74561,68324,34129,D,T,True,7,74561,34129,20217,531,266,433,8,90,177014,
1912,DELAWARE,DE,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,22631,15998,8886,D,T,True,3,22631,8886,6873,531,266,433,8,90,47515,
1912,FLORIDA,FL,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,35343,4279,4806,D,T,True,6,35343,4806,15269,531,266,433,8,90,44428,
1912,GEORGIA,GA,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,93087,0,21985,D,T,True,14,93087,21985,35552,531,266,433,8,90,115072,
1912,IDAHO,ID,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,33921,32810,25527,D,T,True,4,33921,25527,4198,531,266,433,8,90,92258,
1912,ILLINOIS,IL,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,405048,253593,386478,D,T,True,29,405048,386478,9286,531,266,433,8,90,1045119,
1912,INDIANA,IN,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,281890,151267,162007,D,T,True,15,281890,162007,59942,531,266,433,8,90,595164,
1912,IOWA,IA,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,185325,119805,161819,D,T,True,13,185325,161819,11754,531,266,433,8,90,466949,
1912,KANSAS,KS,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,143663,74845,120210,D,T,True,10,143663,120210,11727,531,266,433,8,90,338718,
1912,KENTUCKY,KY,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,219484,115510,101766,D,T,True,13,219484,101766,58860,531,266,433,8,90,436760,
1912,LOUISIANA,LA,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,60871,0,9283,D,T,True,10,60871,9283,25795,531,266,433,8,90,70154,
1912,MAINE,ME,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,51113,26545,48495,D,T,True,6,51113,48495,1310,531,266,433,8,90,126153,
1912,MARYLAND,MD,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,112674,54956,57789,D,T,True,8,112674,57789,27443,531,266,433,8,90,225419,
1912,MASSACHUSETTS,MA,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,173408,155948,142228,D,T,True,18,173408,142228,15591,531,266,433,8,90,471584,
1912,MICHIGAN,MI,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,T,150751,152244,214584,D,T,False,15,214584,214584,1,531,266,433,8,90,517579,
1912,MINNESOTA,MN,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,T,106426,64334,125856,D,T,False,12,125856,125856,1,531,266,433,8,90,296616,
1912,MISSISSIPPI,MS,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,57324,0,3549,D,T,True,10,57324,3549,26888,531,266,433,8,90,60873,
1912,MISSOURI,MO,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,330746,207821,124375,D,T,True,18,330746,124375,103186,531,266,433,8,90,662942,
1912,MONTANA,MT,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,27941,18512,22456,D,T,True,4,27941,22456,2743,531,266,433,8,90,68909,
1912,NEBRASKA,NE,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,109008,54226,72681,D,T,True,8,109008,72681,18164,531,266,433,8,90,235915,
