year,state,state_po,totalvotes,dem_name,rep_name,dem_votes,rep_votes,winner_votes,loser_votes,votes_to_flip,party_win,electoral_votes,E_total,D_electoral,R_electoral,overall_winner
1980,HAWAII,HI,303287,"CARTER, JIMMY","REAGAN, RONALD",135879,130112,135879,130112,2884,D,,0.0,0.0,0.0,R
1980,IDAHO,ID,437431,"CARTER, JIMMY","REAGAN, RONALD",110192,290699,290699,110192,90254,R,,0.0,0.0,0.0,R
1980,ILLINOIS,IL,4749721,"CARTER, JIMMY","REAGAN, RONALD",1981413,2358049,2358049,1981413,188319,R,,0.0,0.0,0.0,R
1980,INDIANA,IN,2242033,"CARTER, JIMMY","REAGAN, RONALD",844197,1255656,1255656,844197,205730,R,,0.0,0.0,0.0,R
1980,IOWA,IA,1317661,"CARTER, JIMMY","REAGAN, RONALD",508672,676026,676026,508672,83678,R,,0.0,0.0,0.0,R
1980,KANSAS,KS,979795,"CARTER, JIMMY","REAGAN, RONALD",326150,566812,566812,326150,120332,R,,0.0,0.0,0.0,R
1980,KENTUCKY,KY,1295627,"CARTER, JIMMY","REAGAN, RONALD",617417,635274,635274,617417,8929,R,,0.0,0.0,0.0,R
1980,LOUISIANA,LA,1548591,"CARTER, JIMMY","REAGAN, RONALD",708453,792853,792853,708453,42201,R,,0.0,0.0,0.0,R
1980,MAINE,ME,523011,"CARTER, JIMMY","REAGAN, RONALD",220974,238522,238522,220974,8775,R,,0.0,0.0,0.0,R
1980,MARYLAND,MD,1540496,"CARTER, JIMMY","REAGAN, RONALD",726161,680606,726161,680606,22778,D,,0.0,0.0,0.0,R
1980,MASSACHUSETTS,MA,2524090,"CARTER, JIMMY","REAGAN, RONALD",1053802,1057631,1057631,1053802,1915,R,,0.0,0.0,0.0,R
1980,MICHIGAN,MI,3909725,"CARTER, JIMMY","REAGAN, RONALD",1661532,1915225,1915225,1661532,126847,R,,0.0,0.0,0.0,R
1980,MINNESOTA,MN,2051916,"CARTER, JIMMY","REAGAN, RONALD",954173,873268,954173,873268,40453,D,,0.0,0.0,0.0,R
1980,MISSISSIPPI,MS,891750,"CARTER, JIMMY","REAGAN, RONALD",429281,441089,441089,429281,5905,R,,0.0,0.0,0.0,R
1980,MISSOURI,MO,2099824,"CARTER, JIMMY","REAGAN, RONALD",931182,1074181,1074181,931182,71500,R,,0.0,0.0,0.0,R
1980,MONTANA,MT,363952,"CARTER, JIMMY","REAGAN, RONALD",118032,206814,206814,118032,44392,R,,0.0,0.0,0.0,R
1980,NEBRASKA,NE,639533,"CARTER, JIMMY","REAGAN, RONALD",166424,419214,419214,166424,126396,R,,0.0,0.0,0.0,R
1980,NEVADA,NV,243692,"CARTER, JIMMY","REAGAN, RONALD",66666,155017,155017,66666,44176,R,,0.0,0.0,0.0,R
1980,NEW HAMPSHIRE,NH,383990,"CARTER, JIMMY","REAGAN, RONALD",108864,221705,221705,108864,56421,R,,0.0,0.0,0.0,R
1980,NEW JERSEY,NJ,2975684,"CARTER, JIMMY","REAGAN, RONALD",1147364,1546557,1546557,1147364,199597,R,,0.0,0.0,0.0,R
1980,NEW MEXICO,NM,456237,"CARTER, JIMMY","REAGAN, RONALD",167826,250779,250779,167826,41477,R,,0.0,0.0,0.0,R
1980,NEW YORK,NY,6201959,"CARTER, JIMMY","REAGAN, RONALD",2728372,2637700,2728372,2637700,45337,D,,0.0,0.0,0.0,R
1980,NORTH CAROLINA,NC,1855833,"CARTER, JIMMY","REAGAN, RONALD",875635,915018,915018,875635,19692,R,,0.0,0.0,0.0,R
1980,NORTH DAKOTA,ND,301116,"CARTER, JIMMY","REAGAN, RONALD",79189,193695,193695,79189,57254,R,,0.0,0.0,0.0,R
1980,OHIO,OH,4283603,"CARTER, JIMMY","REAGAN, RONALD",1752414,2206545,2206545,1752414,227066,R,,0.0,0.0,0.0,R
1980,OKLAHOMA,OK,1149708,"CARTER, JIMMY","REAGAN, RONALD",402026,695570,695570,402026,146773,R,,0.0,0.0,0.0,R
1980,OREGON,OR,1181516,"CARTER, JIMMY","REAGAN, RONALD",456890,571044,571044,456890,57078,R,,0.0,0.0,0.0,R
1980,PENNSYLVANIA,PA,4561501,"CARTER, JIMMY","REAGAN, RONALD",1937540,2261872,2261872,1937540,162167,R,,0.0,0.0,0.0,R
1980,RHODE ISLAND,RI,415967,"CARTER, JIMMY","REAGAN, RONALD",198342,154793,198342,154793,21775,D,,0.0,0.0,0.0,R
1980,SOUTH CAROLINA,SC,888258,"CARTER, JIMMY","REAGAN, RONALD",428220,439277,439277,428220,5529,R,,0.0,0.0,0.0,R
1980,SOUTH DAKOTA,SD,327703,"CARTER, JIMMY","REAGAN, RONALD",103855,198343,198343,103855,47245,R,,0.0,0.0,0.0,R
1980,TENNESSEE,TN,1617616,"CARTER, JIMMY","REAGAN, RONALD",783051,787761,787761,783051,2356,R,,0.0,0.0,0.0,R
1980,TEXAS,TX,4541636,"CARTER, JIMMY","REAGAN, RONALD",1881147,2510705,2510705,1881147,314780,R,,0.0,0.0,0.0,R
1980,UTAH,UT,604152,"CARTER, JIMMY","REAGAN, RONALD",124266,439687,439687,124266,157711,R,,0.0,0.0,0.0,R
1980,VERMONT,VT,213299,"CARTER, JIMMY","REAGAN, RONALD",81952,94628,94628,81952,6339,R,,0.0,0.0,0.0,R
1980,VIRGINIA,VA,1866032,"CARTER, JIMMY","REAGAN, RONALD",752174,989609,989609,752174,118718,R,,0.0,0.0,0.0,R
