year,state,state_po,D_name,R_name,T_name,party_win,D_votes,R_votes,T_votes,overall_winner,overall_runner_up,winner_state,electoral_votes,winner_votes,loser_votes,votes_to_flip,total_electoral_votes,electoral_votes_to_win,D_electoral,R_electoral,T_electoral,totalvotes
1916,VERMONT,VT,Woodrow Wilson,Charles Evans Hughes,,R,22708,40250,0,D,R,False,4,22708,40250,0,531,266,270,261,0,62958
1916,VIRGINIA,VA,Woodrow Wilson,Charles Evans Hughes,,D,102824,49356,0,D,R,True,12,102824,49356,26735,531,266,270,261,0,152180
1916,WASHINGTON,WA,Woodrow Wilson,Charles Evans Hughes,,D,183388,167208,22800,D,R,True,7,183388,167208,8091,531,266,270,261,0,373396
1916,WEST VIRGINIA,WV,Woodrow Wilson,Charles Evans Hughes,,R,140403,143124,0,D,R,False,8,140403,143124,0,531,266,270,261,0,283527
1916,WISCONSIN,WI,Woodrow Wilson,Charles Evans Hughes,,R,193042,221323,27846,D,R,False,13,193042,221323,0,531,266,270,261,0,442211
1916,WYOMING,WY,Woodrow Wilson,Charles Evans Hughes,,D,28376,21698,0,D,R,True,3,28376,21698,3340,531,266,270,261,0,50074
1920,ALABAMA,AL,James M. Cox,Warren G. Harding,,D,160560,96589,0,R,D,False,12,96589,160560,0,531,266,121,410,0,257149
1920,ARIZONA,AZ,James M. Cox,Warren G. Harding,,R,29546,37016,0,R,D,True,3,37016,29546,3736,531,266,121,410,0,66562
1920,ARKANSAS,AR,James M. Cox,Warren G. Harding,,D,106682,71948,0,R,D,False,9,71948,106682,0,531,266,121,410,0,178630
1920,CALIFORNIA,CA,James M. Cox,Warren G. Harding,,R,229191,624992,64076,R,D,True,13,624992,229191,197901,531,266,121,410,0,918259
1920,COLORADO,CO,James M. Cox,Warren G. Harding,,R,104936,173248,0,R,D,True,6,173248,104936,34157,531,266,121,410,0,278184
1920,CONNECTICUT,CT,James M. Cox,Warren G. Harding,,R,120721,229238,0,R,D,True,7,229238,120721,54259,531,266,121,410,0,349959
1920,DELAWARE,DE,James M. Cox,Warren G. Harding,,R,39911,52858,0,R,D,True,3,52858,39911,6474,531,266,121,410,0,92769
1920,FLORIDA,FL,James M. Cox,Warren G. Harding,,D,90515,44853,0,R,D,False,6,44853,90515,0,531,266,121,410,0,135368
1920,GEORGIA,GA,James M. Cox,Warren G. Harding,,D,107162,41089,0,R,D,False,14,41089,107162,0,531,266,121,410,0,148251
1920,IDAHO,ID,James M. Cox,Warren G. Harding,,R,46579,88975,0,R,D,True,4,88975,46579,21199,531,266,121,410,0,135554
1920,ILLINOIS,IL,James M. Cox,Warren G. Harding,,R,534395,1420480,0,R,D,True,29,1420480,534395,443043,531,266,121,410,0,1954875
1920,INDIANA,IN,James M. Cox,Warren G. Harding,,R,511364,696370,0,R,D,True,15,696370,511364,92504,531,266,121,410,0,1207734
1920,IOWA,IA,James M. Cox,Warren G. Harding,,R,227921,634674,0,R,D,True,13,634674,227921,203377,531,266,121,410,0,862595
1920,KANSAS,KS,James M. Cox,Warren G. Harding,,R,185464,369268,0,R,D,True,10,369268,185464,91903,531,266,121,410,0,554732
1920,KENTUCKY,KY,James M. Cox,Warren G. Harding,,D,456497,452480,0,R,D,False,13,452480,456497,0,531,266,121,410,0,908977
1920,LOUISIANA,LA,James M. Cox,Warren G. Harding,,D,87519,38538,0,R,D,False,10,38538,87519,0,531,266,121,410,0,126057
1920,MAINE,ME,James M. Cox,Warren G. Harding,,R,58961,136355,0,R,D,True,6,136355,58961,38698,531,266,121,410,0,195316
1920,MARYLAND,MD,James M. Cox,Warren G. Harding,,R,180626,236117,0,R,D,True,8,236117,180626,27746,531,266,121,410,0,416743
1920,MASSACHUSETTS,MA,James M. Cox,Warren G. Harding,,R,276691,681153,0,R,D,True,18,681153,276691,202232,531,266,121,410,0,957844
1920,MICHIGAN,MI,James M. Cox,Warren G. Harding,,R,233450,762865,0,R,D,True,15,762865,233450,264708,531,266,121,410,0,996315
1920,MINNESOTA,MN,James M. Cox,Warren G. Harding,,R,142994,519421,56106,R,D,True,12,519421,142994,188214,531,266,121,410,0,718521
1920,MISSISSIPPI,MS,James M. Cox,Warren G. Harding,,D,69277,11576,0,R,D,False,10,11576,69277,0,531,266,121,410,0,80853
1920,MISSOURI,MO,James M. Cox,Warren G. Harding,,R,574799,727162,0,R,D,True,18,727162,574799,76182,531,266,121,410,0,1301961
1920,MONTANA,MT,James M. Cox,Warren G. Harding,,R,57372,109430,12204,R,D,True,4,109430,57372,26030,531,266,121,410,0,179006
1920,NEBRASKA,NE,James M. Cox,Warren G. Harding,,R,119608,247498,0,R,D,True,8,247498,119608,63946,531,266,121,410,0,367106
1920,NEVADA,NV,James M. Cox,Warren G. Harding,,R,9851,15479,1864,R,D,True,3,15479,9851,2815,531,266,121,410,0,27194
1920,NEW HAMPSHIRE,NH,James M. Cox,Warren G. Harding,,R,62662,95196,0,R,D,True,4,95196,62662,16268,531,266,121,410,0,157858
1920,NEW JERSEY,NJ,James M. Cox,Warren G. Harding,,R,256887,611541,0,R,D,True,14,611541,256887,177328,531,266,121,410,0,868428
1920,NEW MEXICO,NM,James M. Cox,Warren G. Harding,,R,46668,57634,0,R,D,True,3,57634,46668,5484,531,266,121,410,0,104302
1920,NEW YORK,NY,James M. Cox,Warren G. Harding,,R,781238,1871167,203201,R,D,True,45,1871167,781238,544965,531,266,121,410,0,2855606
