index,year,state,state_po,totalvotes,D_name,R_name,D_votes,R_votes,winner_votes,loser_votes,votes_to_flip,party_win,electoral_votes,total_electoral_votes,D_electoral,R_electoral,overall_winner,winner_state
83,1980,NEW YORK,NY,5366072,"CARTER, JIMMY","REAGAN, RONALD",2728372,2637700,2728372,2637700,45337,D,41,538,90,448,R,False
84,1980,NORTH CAROLINA,NC,1790653,"CARTER, JIMMY","REAGAN, RONALD",875635,915018,915018,875635,19692,R,13,538,90,448,R,True
85,1980,NORTH DAKOTA,ND,272884,"CARTER, JIMMY","REAGAN, RONALD",79189,193695,193695,79189,57254,R,3,538,90,448,R,True
86,1980,OHIO,OH,3958959,"CARTER, JIMMY","REAGAN, RONALD",1752414,2206545,2206545,1752414,227066,R,25,538,90,448,R,True
87,1980,OKLAHOMA,OK,1097596,"CARTER, JIMMY","REAGAN, RONALD",402026,695570,695570,402026,146773,R,8,538,90,448,R,True
88,1980,OREGON,OR,1027934,"CARTER, JIMMY","REAGAN, RONALD",456890,571044,571044,456890,57078,R,6,538,90,448,R,True
89,1980,PENNSYLVANIA,PA,4199412,"CARTER, JIMMY","REAGAN, RONALD",1937540,2261872,2261872,1937540,162167,R,27,538,90,448,R,True
90,1980,RHODE ISLAND,RI,353135,"CARTER, JIMMY","REAGAN, RONALD",198342,154793,198342,154793,21775,D,4,538,90,448,R,False
91,1980,SOUTH CAROLINA,SC,867497,"CARTER, JIMMY","REAGAN, RONALD",428220,439277,439277,428220,5529,R,8,538,90,448,R,True
92,1980,SOUTH DAKOTA,SD,302198,"CARTER, JIMMY","REAGAN, RONALD",103855,198343,198343,103855,47245,R,4,538,90,448,R,True
93,1980,TENNESSEE,TN,1570812,"CARTER, JIMMY","REAGAN, RONALD",783051,787761,787761,783051,2356,R,10,538,90,448,R,True
94,1980,TEXAS,TX,4391852,"CARTER, JIMMY","REAGAN, RONALD",1881147,2510705,2510705,1881147,314780,R,26,538,90,448,R,True
95,1980,UTAH,UT,563953,"CARTER, JIMMY","REAGAN, RONALD",124266,439687,439687,124266,157711,R,4,538,90,448,R,True
96,1980,VERMONT,VT,176580,"CARTER, JIMMY","REAGAN, RONALD",81952,94628,94628,81952,6339,R,3,538,90,448,R,True
97,1980,VIRGINIA,VA,1741783,"CARTER, JIMMY","REAGAN, RONALD",752174,989609,989609,752174,118718,R,12,538,90,448,R,True
98,1980,WASHINGTON,WA,1515437,"CARTER, JIMMY","REAGAN, RONALD",650193,865244,865244,650193,107526,R,9,538,90,448,R,True
99,1980,WEST VIRGINIA,WV,701668,"CARTER, JIMMY","REAGAN, RONALD",367462,334206,367462,334206,16629,D,6,538,90,448,R,False
100,1980,WISCONSIN,WI,2070429,"CARTER, JIMMY","REAGAN, RONALD",981584,1088845,1088845,981584,53631,R,11,538,90,448,R,True
101,1980,WYOMING,WY,160127,"CARTER, JIMMY","REAGAN, RONALD",49427,110700,110700,49427,30637,R,3,538,90,448,R,True
102,1984,ALABAMA,AL,1424748,"MONDALE, WALTER","REAGAN, RONALD",551899,872849,872849,551899,160476,R,9,538,13,525,R,True
103,1984,ALASKA,AK,200384,"MONDALE, WALTER","REAGAN, RONALD",62007,138377,138377,62007,38186,R,3,538,13,525,R,True
104,1984,ARIZONA,AZ,1015270,"MONDALE, WALTER","REAGAN, RONALD",333854,681416,681416,333854,173782,R,7,538,13,525,R,True
105,1984,ARKANSAS,AR,873420,"MONDALE, WALTER","REAGAN, RONALD",338646,534774,534774,338646,98065,R,6,538,13,525,R,True
106,1984,CALIFORNIA,CA,9389528,"MONDALE, WALTER","REAGAN, RONALD",3922519,5467009,5467009,3922519,772246,R,47,538,13,525,R,True
107,1984,COLORADO,CO,1276792,"MONDALE, WALTER","REAGAN, RONALD",454975,821817,821817,454975,183422,R,8,538,13,525,R,True
108,1984,CONNECTICUT,CT,1460474,"MONDALE, WALTER","REAGAN, RONALD",569597,890877,890877,569597,160641,R,8,538,13,525,R,True
109,1984,DELAWARE,DE,253846,"MONDALE, WALTER","REAGAN, RONALD",101656,152190,152190,101656,25268,R,3,538,13,525,R,True
110,1984,D.C.,DC,209417,"MONDALE, WALTER","REAGAN, RONALD",180408,29009,180408,29009,75700,D,3,538,13,525,R,False
111,1984,FLORIDA,FL,4179166,"MONDALE, WALTER","REAGAN, RONALD",1448816,2730350,2730350,1448816,640768,R,21,538,13,525,R,True
112,1984,GEORGIA,GA,1775350,"MONDALE, WALTER","REAGAN, RONALD",706628,1068722,1068722,706628,181048,R,12,538,13,525,R,True
113,1984,HAWAII,HI,332204,"MONDALE, WALTER","REAGAN, RONALD",147154,185050,185050,147154,18949,R,4,538,13,525,R,True
114,1984,IDAHO,ID,406033,"MONDALE, WALTER","REAGAN, RONALD",108510,297523,297523,108510,94507,R,4,538,13,525,R,True
115,1984,ILLINOIS,IL,4793602,"MONDALE, WALTER","REAGAN, RONALD",2086499,2707103,2707103,2086499,310303,R,24,538,13,525,R,True
116,1984,INDIANA,IN,2218711,"MONDALE, WALTER","REAGAN, RONALD",841481,1377230,1377230,841481,267875,R,12,538,13,525,R,True
117,1984,IOWA,IA,1308708,"MONDALE, WALTER","REAGAN, RONALD",605620,703088,703088,605620,48735,R,8,538,13,525,R,True
118,1984,KANSAS,KS,1010445,"MONDALE, WALTER","REAGAN, RONALD",333149,677296,677296,333149,172074,R,7,538,13,525,R,True
